Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
1,Precious Achiuwa,C-PF,24,TOT,43,4,18.9,2.9,6.3,.467,0.3,1.5,.238,2.6,4.8,.536,.494,0.8,1.3,.611,2.3,3.4,5.7,1.3,0.6,0.7,1.0,1.7,7.0,achiupr01
1,Precious Achiuwa,C,24,TOR,25,0,17.5,3.1,6.8,.459,0.5,1.9,.277,2.6,4.9,.528,.497,1.0,1.7,.571,2.0,3.4,5.4,1.8,0.6,0.5,1.2,1.6,7.7,achiupr01
1,Precious Achiuwa,PF,24,NYK,18,4,20.9,2.7,5.6,.480,0.1,0.9,.125,2.6,4.7,.548,.490,0.5,0.7,.750,2.6,3.4,6.1,0.6,0.4,0.9,0.7,1.9,5.9,achiupr01
2,Bam Adebayo,C,26,MIA,40,40,34.8,7.6,15.2,.500,0.0,0.3,.091,7.6,14.9,.508,.501,5.2,6.7,.779,2.3,8.5,10.7,4.1,1.0,1.0,2.5,2.5,20.4,adebaba01
3,Ochai Agbaji,SG,23,UTA,51,10,19.7,2.1,4.9,.426,0.9,2.8,.331,1.2,2.1,.551,.520,0.3,0.4,.750,0.7,1.8,2.5,0.9,0.5,0.6,0.7,1.3,5.4,agbajoc01
4,Santi Aldama,PF,23,MEM,38,12,24.1,4.0,9.2,.431,1.7,4.8,.348,2.3,4.4,.521,.521,0.9,1.5,.625,1.2,4.5,5.7,1.9,0.7,0.7,1.1,1.5,10.5,aldamsa01
5,Nickeil Alexander-Walker,SG,25,MIN,50,16,23.1,2.5,5.8,.423,1.4,3.9,.363,1.1,2.0,.541,.543,0.5,0.7,.743,0.4,1.5,1.9,2.5,0.9,0.5,0.9,1.9,6.8,alexani01
6,Grayson Allen,SG,28,PHO,44,44,32.8,4.4,8.5,.516,2.6,5.3,.491,1.8,3.3,.556,.668,1.6,1.9,.878,0.7,3.4,4.0,2.9,0.8,0.6,1.4,2.1,13.0,allengr01
7,Jarrett Allen,C,25,CLE,42,42,30.3,6.4,9.9,.646,0.0,0.0,.000,6.4,9.9,.647,.646,2.7,3.6,.750,3.6,7.0,10.7,2.8,0.9,1.1,1.8,2.3,15.5,allenja01
8,Jose Alvarado,PG,25,NOP,31,0,16.1,2.4,5.8,.413,1.3,3.4,.390,1.1,2.4,.446,.528,0.7,1.1,.657,0.4,1.7,2.1,1.8,1.0,0.3,0.7,1.5,6.8,alvarjo01
